dec_Chicken_Breast,dec_Tofu,dec_Eggs,dec_Sweet_Potato,dec_White_Rice,dec_Oats,dec_Almonds,dec_Olive_Oil,dec_Avocado,dec_Spinach,dec_Berries,dec_Broccoli,obj_Nutrient_Density,obj_Cost,obj_Prep_Time
,,,<0.05,<0.05,<0.05,<0.25,<0.1,<0.25,,,,,<0.5,
,,,,,,,,,,,,1,-1,-1
Proteins,Proteins,Proteins,Carbohydrates,Carbohydrates,Carbohydrates,Fats,Fats,Fats,Vegetables_Fruits,Vegetables_Fruits,Vegetables_Fruits,,,
,,,,,,,,,,,,"score [0,1]",USD per 100kcal,minutes per 100kcal
0.018087780686102905,0.008324097526135074,0.016050916266502298,0.0070631288341733,7.038672595593817e-05,0.002008226963960681,0.030798854251071314,0.0021617790504051206,0.0016913609939786674,0.9086537897500065,0.00020484640378177463,0.004884832547926416,0.8901230990251114,0.48530909622072077,11.688114065482061
0.014174355479864417,0.025670053896063322,0.007310968876485478,0.008355620182477248,0.0011441439256162829,0.004431072753045898,0.03604938977789372,0.0053265795808716985,0.005258195306350245,0.42482083522273323,0.021109911490367072,0.4463488735082314,0.8748245535158241,0.3403256305174699,14.662871801173605
0.0015581057837021264,0.04889524006690928,0.0025938839067948436,0.0017179637836719002,0.0008753770389873449,0.00035992343773358533,0.01796394775208741,0.024064066352168133,0.002004323753926961,0.5330199920021607,0.14800938508265593,0.2189377910392018,0.8667981279189457,0.4189752970760862,11.286387340175246
0.0265604202586858,0.04823540635213215,0.0024617255126072033,0.01736321448479012,0.0020430861262453006,0.008326223064603984,0.006733196205832782,0.0046898721714062055,0.0003921904755064172,0.0048249915106475805,0.03966665449625543,0.838703019341287,0.8633221589487435,0.20181953258918509,17.8638148615587
0.034014733559759376,0.0030069445004866167,0.0044144850200563005,0.005197714067192887,0.001398487757529909,0.00021049562585752723,0.022736535185484928,0.05240824793649767,0.0016659218769542196,0.6211586285656813,0.23661601446689903,0.017171791437600368,0.8606382139294777,0.4999809884339992,8.984005409639146
0.025607700322316365,0.048336292775830604,0.02075440302503892,0.01674039750983249,0.01723247699716859,0.010732192175648846,0.004926106247223216,0.0045216468695018905,6.850807528988436e-05,0.0033136054088388047,0.0382438150916228,0.8095228555016876,0.8559895497037846,0.19794568096791015,17.745973731143344
0.021811846336871457,0.04018678410793075,0.01972540433108933,0.01454621181421955,0.0028203298847734293,0.013386139676437911,0.013215568421986141,0.017051287253703397,0.08071356090583118,0.08435552106180769,0.0034308731536895846,0.6887564730516595,0.8506984045613393,0.23665522774109818,16.13999035397321
0.023589664800413596,0.14360354637992984,0.03826963570062339,0.01998768313269685,0.0461699051747225,0.01543374108050818,0.030432651471008904,0.0013333867083523626,0.02234209123378178,0.5100822821015988,0.0860425723688836,0.0627128398474802,0.8334051750936813,0.3840141505901624,9.998923146560632
0.004108487713214617,0.12892930322886245,0.009701569345959187,0.010882934590291254,3.024777930685574e-06,0.005438016471001576,0.1513207369242908,0.0629210263598239,0.005289591901777471,0.22000920731143875,0.3902782124379793,0.011117888937430154,0.81197660984206,0.46876929860869554,4.368797075242284
0.005198818982732457,0.3874413809120051,0.004790363338009576,0.0002183619171617781,0.0019964296766663775,0.00016695219824778082,0.09231516911508753,1.9797716416507776e-05,0.12449429574914499,0.22597222873945627,0.06392515438806755,0.09346104726700395,0.799406884123832,0.31675902033842585,6.042089827356735
0.00719823836671434,0.5177851809387616,0.006367046763545577,0.0023539916779095308,0.00046679144857111806,0.001654998654479688,0.007140847651255186,2.6778746454688842e-05,0.03361070096282735,0.2960681742328597,0.00405372839867844,0.12327352215794295,0.7973175267884219,0.24790615180893763,7.428634431029591
0.002834635116704258,0.5601473361098162,0.0025190598686415217,0.002456995649494191,5.7375416328481156e-05,0.00030814758070526706,0.007815178414067413,2.896559218279232e-05,0.0008444493959578037,0.3517781929927061,0.06479111003963103,0.006418553823765022,0.7941426032749879,0.27847938803661976,5.7339663397930645
0.008190849898527136,0.5892679894582129,0.007245039922303874,0.002162168735203582,6.035822014082327e-05,0.00033728975675642825,0.008125545207025292,3.0471440581258607e-05,0.03632040085433227,0.33689492502583734,0.004612723162448941,0.006752238318630215,0.7867917921972386,0.256858855415559,5.7518800385894036
0.0010621007899974076,0.7442451674637162,0.002507989602455367,0.0002611794940349389,0.0007737210973934712,0.0002453459653086724,0.012245332312181285,0.016403548559109894,0.0009758686422172792,0.002110804456271155,0.10089230555951298,0.11827663605780131,0.7499910333422082,0.17034678932923678,4.155672418659326
0.006127391951782672,0.8430100529420704,0.008527941532570684,0.002724964403435649,0.00404747271170835,0.0011281260519285868,0.0010298342133129921,0.0001255248198777027,0.0463370587800039,0.019647718048753395,0.0038578191171494422,0.0634360954274062,0.7377237579020934,0.13394490559806482,3.677923456860898
0.0014671896007683548,0.6283829087249994,0.07601715028425335,0.0003007911532602555,0.0006563955072050323,0.00048826722721679596,0.14870893423123482,0.07247610713293906,0.0009350068186373712,0.05803009431697695,0.004341847539014164,0.008195307463494426,0.7329164280452866,0.2120515238894132,3.309090004142241
