dec_Chicken_Breast,dec_Tofu,dec_Eggs,dec_Sweet_Potato,dec_White_Rice,dec_Oats,dec_Almonds,dec_Olive_Oil,dec_Avocado,dec_Spinach,dec_Berries,dec_Broccoli,obj_Nutrient_Density,obj_Cost,obj_Prep_Time
<0.01,,<0.01,<0.35,<0.3,<0.3,<0.25,<0.1,<0.25,,,,>0.65,,
,,,,,,,,,,,,1,-1,-1
Proteins,Proteins,Proteins,Carbohydrates,Carbohydrates,Carbohydrates,Fats,Fats,Fats,Vegetables_Fruits,Vegetables_Fruits,Vegetables_Fruits,,,
,,,,,,,,,,,,"score [0,1]",USD per 100kcal,minutes per 100kcal
0.004257427926373506,0.044109247472727854,0.004123594961923765,0.00023590271246487938,0.004920781025272685,0.002665970065558348,0.0024744425655148453,0.002302877132012782,0.002402525666004635,0.28070680665604325,0.0036081666615402426,0.6481922571545633,0.8740772458989261,0.2699785698130738,16.652544191510973
0.0017881980258082951,0.029916898602054678,0.0054317449935014205,0.017642199379141844,0.007152328307532745,0.004133845120296297,0.0037338434520668958,0.003370330400328928,0.003627421642215855,0.06990109432830754,0.005447742774194179,0.8478543529745514,0.8691259210004433,0.20350413346567087,18.466609022196817
0.001013676158149087,0.04195530281928372,0.00037353200349598496,0.005252510489976585,0.00401431817199036,0.0005158470173121217,0.0009972924482855097,0.010346904945380646,0.02774573682935313,0.07870949168580893,0.45493957660505124,0.3741358108259128,0.852549104499474,0.4015672423322851,9.692909425975316
0.0019312084260689458,0.06887618433759639,0.003043673310539123,0.06321036633522785,0.010967513356670223,0.0008448509347939134,0.04570824682583315,0.01549018357246715,0.12726770488047823,0.04492032194113939,0.018454151948549973,0.5992855941306358,0.8390018866145661,0.24538649284225922,14.588787040897817
0.00022192906027210216,0.0578280393176048,0.0005322507631670976,0.010089203465454829,0.0052098330129119125,0.0006964271076949846,0.036695056217749544,0.013968996316491926,0.10851218246095565,0.10626294580225007,0.44616385951142984,0.2138192769640172,0.8377785145002504,0.44030828533729033,7.179787631341119
0.0018465006863742515,0.06121308187157109,0.0027705925915497225,0.0013852998501152941,0.009465515518331467,0.0016801742964800464,0.0021794953740041974,0.0028559780321572004,0.03658483275827888,0.0013606531609090969,0.8769002109972468,0.0017576648629819155,0.8349143491662405,0.5542958344894725,2.284808219631558
0.0017350852473771038,0.07012110450024218,6.6095774675113e-05,0.012065646183173816,0.0062360323940110225,0.0008323815150195911,0.04392301225525111,0.016720519319058866,0.12988621387562224,0.12719393705394244,0.5340463454499789,0.05717362643164764,0.8293316744524566,0.4918510342586021,4.633826347287094
0.0016812720658174432,0.11525069821235893,0.0026853912135933367,0.00013529073544781648,0.055899904401032215,0.0024475509144748836,0.001982502002995408,0.0014971054655364801,0.24089039425079514,0.039737819717325706,0.016065821664108637,0.521726249356514,0.8174743753866448,0.25193305819059686,12.815625130731485
0.0014589232535606768,0.38344904035079325,0.000709117538090743,0.008308098711374496,0.019148239616717647,0.0015771458174345676,0.0017838675916116715,0.0022931870762308657,0.02648550825737921,0.033875081427383325,0.039831276657341236,0.48108051370208244,0.8070155029832975,0.18320156983541666,11.447920319398854
0.0026303917342263184,0.3424742774758607,0.0006177276808421275,0.0008246135453485144,0.0032706162900607554,0.001597834236667798,0.0015397836085494854,0.001664487276821556,0.2352513766506374,0.028098431668453782,0.02493676256270416,0.3570936972698275,0.7989404058347581,0.2365554195243048,9.041893813114283
0.005663803171412359,0.4388578908027944,0.000914599001882619,0.018343324382159232,0.03565845008516799,0.0017141184182944992,0.004260263144080153,0.003683754046936495,0.049408414092933166,0.002005599855267203,0.035101402116230494,0.4043883808828415,0.7883933973421131,0.1728482689376752,10.216968507648486
0.0005839542671779619,0.46867250270228256,3.631811307073208e-05,0.00018422132748277992,0.00046940830555060645,0.012503673846273171,0.21160882703108963,0.007279350415966214,0.000196448724685844,0.03955347384145749,0.25553596501067816,0.003375856414284744,0.7741095650720474,0.3414139101605587,2.0737131020511743
0.0016622020211331228,0.45732184065017256,0.0005071707480566194,0.0293620411338306,0.07225457285630181,0.0005849985269411846,0.1355895914483728,0.0006545987252153841,0.0313917060663117,0.0009305183249447878,0.006897553310170546,0.2628432061885489,0.7665057396651437,0.19812228339293347,7.997169249483628
0.0001420055416695277,0.4619656204180774,3.633424710708733e-05,3.3770900459179304e-05,0.00046269089364697703,0.012131923220543402,0.20052115333865947,0.06839949594422,0.00019363746850214778,0.0009066735261211987,0.2518791478796845,0.003327546621308967,0.7523282527918217,0.3312023283391045,1.5766519580889184
0.00025206071698680925,0.7521227192285902,0.00029146566428744653,6.051944659389439e-05,0.0008291693868630114,0.02174112236996438,0.05971559438397147,0.008552923125358934,0.0003470097709641417,0.001623696081070338,0.004464293103321529,0.14999942672202773,0.7440083149020097,0.144764092645288,4.664194378693874
0.0023341343111427043,0.9361060946644212,1.8717109343190588e-06,0.0006415741775502666,0.0014596154280640023,0.003123231906568648,0.0007437793319875864,0.001862124113471035,0.0166190400413447,0.014849307936490955,0.02083037644608773,0.0014288499319367086,0.7258450409337177,0.1238623358865234,2.255880721057642
0.0011140755881527593,0.916204242032041,0.001754658097893286,0.01954351319881317,0.04842796166060248,0.00039208987216019143,0.0018433846880640695,0.0004387387637161159,0.002183154602333524,0.0006236713329484996,0.004623021548009435,0.0028514886152654247,0.7152564812144271,0.1053029037085189,3.0749989628045844
0.0017039829065436552,0.711548201876598,0.0013627134182385902,0.0006824353169306496,0.2739930523637308,0.0007791063765497665,0.001431620811152031,0.00032983107782282814,0.0016954950222274924,0.0006686605442276128,0.0035903595713845664,0.0022145407145940143,0.6747453858144711,0.10417536066695458,5.661118817334316
