dec_Chicken_Breast,dec_Tofu,dec_Eggs,dec_Sweet_Potato,dec_White_Rice,dec_Oats,dec_Almonds,dec_Olive_Oil,dec_Avocado,dec_Spinach,dec_Berries,dec_Broccoli,obj_Nutrient_Density,obj_Cost,obj_Prep_Time,obj_Carbon_Footprint,obj_Satiety,obj_Diversity
,,,<0.35,<0.3,<0.3,<0.1,<0.1,<0.1,,,,,<0.25,,,,
,,,,,,,,,,,,1,-1,-1,-1,1,1
Proteins,Proteins,Proteins,Carbohydrates,Carbohydrates,Carbohydrates,Fats,Fats,Fats,Vegetables_Fruits,Vegetables_Fruits,Vegetables_Fruits,,,,,,
,,,,,,,,,,,,"score [0,1]",USD per 100kcal,minutes per 100kcal,gCO2e per 100kcal,"score [0,1]","score [0,1]"
4.5899669788227617e-08,1.401369647732883e-07,2.5759102136608025e-07,2.1232615743422917e-06,9.101152560393508e-08,3.3254092605670683e-06,1.2008370325710856e-06,2.174237739626077e-08,5.359422494149701e-06,0.21868336678001016,8.084545110933303e-06,0.7812959833629582,0.8843714801553709,0.2499837235617558,18.250217606061963,31.72072471300375,0.5390676940327999,0.3728227323965224
1.2845708637697007e-07,3.954851170519874e-05,2.8536478809803815e-06,2.431757374006072e-05,0.0029278390905966693,2.619305307435805e-06,1.1370925543213992e-06,1.1862532300126652e-06,5.336290701516456e-06,0.21948838937799703,1.4839664455235164e-06,0.777505160432755,0.8834135205904186,0.2499999257493431,18.228523720954268,31.72654380085852,0.538738785277054,0.3788749068906765
4.525055677726367e-08,9.812193157738e-08,1.7852835858591148e-07,0.04334001787507271,6.450346671465602e-08,2.0954724434608078e-07,2.726761553878191e-07,1.710665261144446e-07,3.6401088071189513e-06,0.15596335257680782,5.664053946930707e-06,0.8006862856911259,0.880518119880564,0.22731134020509294,18.752114118895793,33.311265387532764,0.5465362988726011,0.362943869851868
5.623688063413128e-08,7.075352401995474e-08,4.351803946481118e-06,8.431072546154284e-07,7.953993494175223e-08,2.796627723436254e-07,3.5794878060406924e-07,2.167896807199847e-07,6.936418172159001e-07,2.517273876130155e-06,4.494961457287223e-08,0.9999904882919177,0.8799992513054326,0.18000098096377984,19.999927859626982,35.00084263666527,0.5500007775327374,2.0752689769309995e-05
5.565654605643799e-08,0.00955657972489628,4.3068956536133895e-06,8.344068379664217e-07,7.871912528741735e-08,2.767768018727442e-07,0.0007620030556979905,2.1627107840497522e-07,7.031384901499858e-07,3.7184437881424738e-06,1.0646418845277618e-07,0.9896711204468958,0.878409305940324,0.17951868354183578,19.812667203147658,35.68673220528805,0.5506308646327307,0.022319088496341788
5.3612541476659706e-08,1.1705111545816563e-07,1.9290984974408168e-07,0.05134894841987879,3.75757724779465e-08,2.479563296858781e-07,3.412448135504924e-07,2.0667301632405942e-07,1.2644534768048138e-06,1.0662333131092667e-06,4.285200474269169e-08,0.9486474810178879,0.8769187170001009,0.17691990094971385,19.999950997975866,35.77045914519874,0.5551350909800524,0.10628862791080954
