dec_Equity_Developed_Markets,dec_Equity_Emerging_Markets,dec_Bond_US,dec_Bond_EU,dec_RealEstate_US,dec_RealEstate_EU,dec_Cash,dec_Private_Debt,dec_Infrastructure,dec_Private_Equity,obj_Risk,obj_Return,obj_Liquidity,obj_ESG,obj_Diversity,obj_Geopolitical
,,,,,,,,,,,,,,,
,,,,,,,,,,-1,1,1,1,1,-1
Equities,Equities,Fixed_Income,Fixed_Income,Real_Assets,Real_Assets,Cash,Fixed_Income,Real_Assets,Private_Equity,,,,,,
,,,,,,,,,,annualised variance,fraction p.a.,"score [0,1]","score [0,1]","score [0,1]","score [0,1]"
0.0011941500832196705,0.0003701793566809185,0.01371901138286374,0.000893553103252385,0.001764407150074545,0.0006294390389928343,0.9798269804978612,0.00018270843376462677,0.001232372870373109,0.000187198082916947,9.845339299859164e-05,0.020512560998011246,0.996324300776609,0.7976209533958434,0.04415935450701588,0.10294311981529065
0.00029524724474651987,0.00029735806895403254,0.010598861847318085,0.00027976192226013876,0.00046415088042921974,0.0001094367490102123,0.9866423889394387,0.00017345349194587608,0.0009890965701017846,0.00015024428579535695,9.889883127580468e-05,0.020300887628266512,0.9979901323294263,0.7985621348764236,0.029358831368892193,0.10182951954138447
0.0439876740069582,0.101799178837386,0.0828971075794728,0.0009466051357952999,0.0030922724310822485,0.004054055937252541,0.658216727743169,0.0010819602586902238,0.0952212440622673,0.00870317400792628,0.0012880121560309872,0.03802281826007725,0.8814152603446237,0.7479361031174562,0.5982332509125898,0.2049478594739606
0.0007200825897344395,0.0011075878974501506,0.04687930713201145,0.0003746505479871696,0.0994405419732238,0.002206303001497183,0.709475293670909,0.0006288382530803106,0.004319237060949156,0.1348481578731574,0.0019614110910631593,0.03962308523610768,0.8111282855616476,0.7020995039537712,0.5181654294572179,0.18784426497811085
0.012971930843670272,0.11494156436513615,0.47170367272614505,0.03153802104820198,0.062420077551422655,0.1474007494325171,0.10559930103324794,0.007617953304326889,0.043021904931590145,0.0027848247637417872,0.0027451095818879123,0.048958215905962874,0.7698605581221426,0.6624655221196787,0.804922257775059,0.2750010099714709
0.3332015971223201,0.004566945071164913,0.1692530128583869,0.21428596709158113,0.021767692855187332,0.007765461430646223,0.08475330325948632,0.0022540948488407016,0.15984244129834654,0.002309484164039934,0.004564942105679758,0.05367991383662628,0.7940004579092825,0.7199478660446457,0.8679038918622962,0.28257585767196214
0.13308027725997343,0.0578234332153844,0.10093293267507,0.08476101190606357,0.15455296980961775,0.10011531723833449,0.10532630207669297,0.12661961671821273,0.01706790693498108,0.1197202321656695,0.007690363670660391,0.0641709547545443,0.5917237572020213,0.5898145012711884,0.9843490027013319,0.34127200710613276
0.0005592271911860309,0.00015288243938860996,0.02178129910051865,0.00027371149718580294,0.0009555997361463845,0.0002936981581270429,0.00501177042096314,0.0011957375631525037,0.9671370431903663,0.002639030702965558,0.009469266820678036,0.06910198491608933,0.26946023060216884,0.8440517675560527,0.07126288014314068,0.34608327111397413
0.14829820744789998,0.06443562991361457,0.11247476558026703,0.0944535613085921,0.1722263347388542,0.1115636545866166,0.0030190169079540004,0.1410987606403101,0.019019647805517206,0.13341042107037424,0.009543192263313535,0.06922196997354318,0.5450367537766287,0.5657794728505524,0.9689969128407989,0.36886182459102895
0.0005582585209535362,0.0008586798101653721,0.03717069086697346,0.00040660203342615415,0.001890424770464038,0.0017104808086602973,0.5500350011848848,0.00048751951246743183,0.0033485754657426505,0.4035337670262623,0.010298720604386481,0.06136502999652385,0.6295511564790943,0.5933179111519982,0.5924679685438549,0.2877080498909828
0.12216701343416493,0.05388229766337134,0.1006841736157228,0.08297001603596069,0.0014565948294496726,0.001436225413696211,0.0951163420754466,0.004038400425206629,0.23290068100126668,0.30534825550571454,0.012981222461847264,0.07603739167919862,0.5068581895360484,0.6057072180188674,0.8984474405315812,0.38031482626570157
0.15677197434840623,0.06811748499043391,0.1272839686215809,0.10488990015412036,0.0011953965804546935,0.0018156624216646327,0.12024516927891943,0.005105307165406479,0.020106431420823544,0.3944687050181898,0.017119583958047527,0.07807822697559913,0.574867451250932,0.5362475875141008,0.858977709058543,0.3900460866388238
0.00028327485287916586,0.49682402664825903,0.011033251593383274,0.00043928253818610705,0.0015486218168575584,0.00014877191925856103,0.0002845298666634729,0.0006107977763335818,0.4874861907883885,0.0013412521997907593,0.018158122747007947,0.08454686244769023,0.5068948716669903,0.6480473444274878,0.5726626901443064,0.49752162006577144
0.001521020758982611,0.7624766692438043,0.01703986143588294,0.0006530156757593918,0.0022220761445882298,0.06398430927092992,0.0005305623723742205,0.13401594074592893,0.0018210478703527537,0.01573549648139671,0.03150232595452775,0.09104397363452142,0.6560494980027514,0.46983451676215243,0.4400286962854648,0.5892274534971857
0.0009405915075035037,0.00905303736817587,0.06453269159693976,0.08019019911887143,0.14229119988969866,0.00140192933648827,0.004391926969836882,0.0008463912187735145,0.005813520889165123,0.6905385121045469,0.034501134557177744,0.09869863992106108,0.2736737775988274,0.40514188586620575,0.5468624793170532,0.4649266908980427
0.0026883138455732897,0.9626218175560443,0.021477241474394563,0.0008239756223205077,0.0026789623811435113,0.0010503374708412177,0.0006694639611040086,0.00029012860384464097,0.0022977994372101644,0.005401959647523814,0.04545824544489427,0.09833997543410296,0.7488411545223768,0.4569372573274841,0.08094087226828732,0.636238135290436
0.0019264223843934289,0.9662317827092712,0.02155778410483987,0.0008270656450370481,0.0028611435274728636,0.0010542763818441824,0.0006719745436888315,0.0002912166262961709,0.0023064165033789877,0.002271917573777426,0.04552835019182064,0.09828101952884905,0.7507084607174734,0.45729863689351463,0.07322965969081613,0.6366729011785487
0.00016848310171520435,0.0002476020949237943,0.00436652371937379,0.0002293632648828583,0.08173702611345152,0.0004165520543720797,0.023785755350788,0.00011511981303899497,0.0008252962426598117,0.888108278244794,0.05221609713708935,0.11305677264279325,0.1503700076787911,0.3348749690729249,0.2266632286725148,0.5169754156282574
