dec_Equity_Developed_Markets,dec_Equity_Emerging_Markets,dec_Bond_US,dec_Bond_EU,dec_RealEstate_US,dec_RealEstate_EU,dec_Cash,dec_Private_Debt,dec_Infrastructure,dec_Private_Equity,obj_Risk,obj_Return,obj_Liquidity,obj_ESG,obj_Diversity,obj_Geopolitical
>0.2,>0.2,,,,,,,,>0.2,<0.08,,,,,
,,,,,,,,,,-1,1,1,1,1,-1
Equities,Equities,Fixed_Income,Fixed_Income,Real_Assets,Real_Assets,Cash,Fixed_Income,Real_Assets,Private_Equity,,,,,,
,,,,,,,,,,annualised variance,fraction p.a.,"score [0,1]","score [0,1]","score [0,1]","score [0,1]"
0.2531584490208989,0.20579244955717102,0.16714176498710598,0.02153221859751167,0.000748486015455065,0.0009035241616798895,0.10083135841712669,0.04108628682872718,0.005664660173204073,0.20314080224111955,0.01553128310059868,0.07658202044678297,0.6958537323581263,0.5582272073765517,0.90222840561219,0.40395959727729247
0.26152712181089566,0.2129071514109806,0.1731938161692351,0.028729487535730677,0.0007743628386969658,0.0009347609978315474,0.10431732232977828,0.005795927305567557,0.0058617173029870545,0.20595833229829663,0.016074670355408584,0.0766626188707992,0.7141997118927172,0.5626921713559027,0.8912025152465457,0.40062659666028094
0.22387318285932567,0.210309538150623,0.07500077346288316,0.030039014873450513,0.009762650024203305,0.00025697024742068895,0.10309505272515196,0.0020191100770785273,0.14297491554515634,0.2026687920347068,0.01639654074646454,0.07952716139483852,0.6212102597965187,0.5865252163096681,0.9187541443484981,0.41329976915818933
0.20747697996269568,0.2079479478720959,0.07396696480882323,0.029121145918580362,0.009468228542149666,0.0342686985581757,0.05353353803472366,0.0428152239597903,0.14118908352976134,0.20021218881320418,0.016426607132212452,0.08097700621488926,0.5766458216642453,0.5721319132083271,0.9348994985905716,0.42713095434336995
0.21807950519895983,0.21858096305336633,0.07774683769484854,0.030609299855302377,0.010947684853601316,0.038581482154853894,0.0016034317029932675,0.045003175088689513,0.14840415298700166,0.21044346741038325,0.01822032602689296,0.08424582134371636,0.5527475045619951,0.5597238921624084,0.9197063411821732,0.44456302799102687
0.24332874274880914,0.20401436182846422,0.015682756953787107,0.010513381480110323,0.011337771857589529,0.0008700958525167227,0.06373757744426738,0.0501653437586565,0.16543487467072185,0.23491509340507716,0.019645335939281937,0.08558024102428327,0.5448443531549426,0.5627578489468317,0.8995007128522016,0.4432553221677691
0.2056029652649769,0.2057890096972069,0.013320326777688442,0.001688476810845031,0.009346081565648486,0.03387540061125788,0.05329292746667694,0.042385248025125034,0.13970994068547063,0.29498962309510385,0.022368638817113175,0.08900973534491637,0.499588137775241,0.5333804558634404,0.891987488296925,0.4573219496574431
0.20773524504265825,0.20833400258665186,0.013393014578276345,0.0017093079799726746,0.009722639778696163,0.03611638865009359,0.0013932266175975675,0.04290816564203125,0.14143357786220837,0.33725443126181387,0.02578735059243129,0.09378451284797726,0.45735326935067094,0.5104161213763482,0.8625274815498107,0.4794217625319838
0.3061481167507594,0.270227223542639,0.018632608256275645,0.0028591596184429826,0.014264806792405871,0.0010947256112510564,0.08081002746741621,0.008198061523018553,0.0022029269602035716,0.29556234347758775,0.027824482741670084,0.09103218233115307,0.6179434329257549,0.5035764447728718,0.820812361915645,0.4669491512232886
0.33453647165876155,0.3293790494686337,0.0005921953201433635,0.044446094147271964,0.002736796230734884,0.035444089230957807,0.004102715132642209,0.007886699576341444,0.003209539406367012,0.23766634982814597,0.029190838890760545,0.09245080897451657,0.6332190764441219,0.5034436129772536,0.799756204578308,0.48966749299485957
0.2927728630167019,0.318319763244811,0.013425027706152814,0.032758072892973326,0.005185418990925894,0.04713755550882973,0.007165732180239163,0.007737030347688464,0.0015357480184629401,0.2739627880932149,0.0294616837014216,0.09332443921469581,0.6003108101961048,0.4917421653970588,0.8158724905029725,0.4913650464115874
0.32016708662435883,0.3150844331794003,0.0005664948243668852,0.0425171922865879,0.0011459909847511172,0.0013801489451832473,0.003924662707450738,0.00734296752012443,0.0030702496295788276,0.3048007732981978,0.031945828024846454,0.09567767725476058,0.601583987212968,0.4845005843379083,0.7815792510693126,0.500775615239799
0.23869762898607547,0.47018257081069603,0.012941484834372727,0.019999037243394253,0.02015848959220528,0.0002646545307938101,0.0023391767510343776,0.004853056129573461,0.0013010498553653685,0.22926285126648924,0.03355626236290102,0.09643455138819493,0.6329610044102555,0.47622251223917966,0.7426508246155489,0.5318455692660602
