dec_Equity_Developed_Markets,dec_Equity_Emerging_Markets,dec_Bond_US,dec_Bond_EU,dec_RealEstate_US,dec_RealEstate_EU,dec_Cash,dec_Private_Debt,dec_Infrastructure,dec_Private_Equity,obj_Risk,obj_Return,obj_Liquidity
,,,,,,,,,,,,
,,,,,,,,,,-1,1,1
Equities,Equities,Fixed_Income,Fixed_Income,Real_Assets,Real_Assets,Cash,Fixed_Income,Real_Assets,Private_Equity,,,
0.0032832082465365023,0.000493557165609523,0.040275839445863555,0.000762477361681513,0.0022767368957243373,0.000969302669764171,0.9428862597730052,0.004527947094373953,0.003350266079109365,0.001174405268331787,0.00010066256284872937,0.0214631077126777,0.9887229340358089
0.022409658420179935,0.04090479233200391,0.13003827611810204,0.010966487078639344,0.008294191736071996,0.0036798700925246754,0.7226598682134684,0.015578456649184832,0.041070471102021895,0.004397928257803022,0.00037211359717237056,0.03030072850628921,0.9268999345464592
0.001374079730126373,0.0684125385194551,0.0326600330301867,2.2677369762754503e-05,0.0018462260064212863,0.0003615497945436932,0.8481902164726618,0.04167093246783498,0.0027167602788441365,0.002744986330163126,0.0003746247336371332,0.028229408985440334,0.9461037344045674
0.046709948351796364,0.05370861959859312,0.7007930856031998,0.010805347594727396,0.013100978717250812,0.013790193689268739,0.02609479127570765,0.06577370359003745,0.051037380796543755,0.018185950782875018,0.0020747602274318972,0.04587327843616634,0.8282704642821427
0.02190350129442451,0.3041519412001331,0.0874703628873018,0.08334813580783124,0.005013341994451145,0.0010288747465004911,0.45749688809469924,0.01255367183567347,0.026151813017423142,0.0008814691215619586,0.005051475233854521,0.04956486802206167,0.8761918068060355
0.17635469239196488,0.0012843060909104448,0.018402123944064708,0.0009556554799354527,0.11067911253453405,0.027000678629507058,0.43005927500433455,0.01740930465471948,0.0009976416695900978,0.2168572096004393,0.00822803492271738,0.06001079416897057,0.6889636407120876
0.0013315308452900286,0.002100703503585842,0.02802103655713061,0.005838776308609214,0.001457358939620193,0.0008015764198109152,0.5375151900863838,0.002800984141227294,0.013047594829490515,0.4070852483688515,0.010630045923171095,0.062275332508686485,0.6178381929912644
0.38663543322235217,0.032063345099125826,0.09579732917682333,0.00221929907794267,0.25702782807460584,0.06270312099328798,0.0014324141566758872,0.04090067944155819,0.09279195195188762,0.02842859880574053,0.012411540064302276,0.07168925093360584,0.6295249200477743
0.033063417422279306,0.4591184969252547,0.13203684111257946,0.2289375634487791,0.004461353849730744,0.007183684030747035,0.0008787929603251893,0.018949814758192917,0.039476259914872996,0.07589377557723859,0.014706015938341898,0.07267012343080137,0.733895765409723
0.01996335356394249,0.552508470561615,0.29951178788928934,0.004618094903257215,0.0055203040336034735,0.002709151645151197,0.056962551506285396,0.028620942903411623,0.021812853873125464,0.0077724891203188075,0.015903010467472646,0.07331135674093223,0.7959764764833823
0.3067708220931003,0.02709586986252654,0.039009119512635804,0.001179901287329459,0.0018141807366896445,0.0003891571526872302,0.18227601230256768,0.031443728456565755,0.07693492393368326,0.33308628466221435,0.017907961463387922,0.07968435433782453,0.5796495845635817
0.007394888454342354,0.10648365386595059,0.029531058432977292,0.028139344431348072,0.001702364720564795,0.0007427949427644227,0.1508824706089945,0.19533346080603042,0.008829170165223284,0.4709607935718042,0.020405561048400456,0.0850117545466096,0.39962486037539613
0.26726005997674057,0.02207571250858393,0.06451105128429718,0.0014945021731043273,0.17308557076582842,0.042225021186312224,0.0009646045867427771,0.02739391150649825,0.06185733917310813,0.33913222683878425,0.02161557354260788,0.0872219243679588,0.462294710273769
0.03974676480695756,0.0014283268164509491,0.03477153362212265,0.13514151619713913,0.0019683814837684467,0.1094805847609261,0.020610326271469373,0.008364075444542665,0.08056823194345193,0.5679202586531713,0.025038894119834496,0.08932899556394797,0.33066284497288556
0.3697728000793756,0.03266058877859021,0.04702048014996917,3.669970857539773e-05,0.0012860327046983545,0.0021017472042824466,0.0012478964879967971,0.03790137353020892,0.09273516318386418,0.41523721817243897,0.027097761412551758,0.09332961224889384,0.4805692932992168
0.04781597138662071,0.0060986487057726356,0.03817750234851078,2.6525974853637712e-05,0.00230169436671963,0.12065109455401765,0.022629165229916065,0.050289649983644734,0.08846011503730526,0.623549632412639,0.031121290690895656,0.09766032883773264,0.24923547445193536
0.04652896144511316,0.010468820724372876,0.020955323830182587,0.0001814719408624932,0.0014359241354537867,0.14294703536746908,0.020525159284168426,0.004983715444931822,0.10722254136492106,0.6447510464625247,0.033625249077964735,0.09976973851558091,0.2337054091672576
0.06263838128999295,0.039552493097067834,0.05334695982032213,0.04557353243691437,0.0014568428798286146,0.0023799414483974103,0.0009766213526316509,0.06197921076739362,0.0006587060784816992,0.7314373108289698,0.03942845684472013,0.10377444900409855,0.27202921285056114
0.01998709720729456,0.10876906260175619,0.016904856596613123,0.0005317847631549193,0.0010481368184193378,0.000502811401838044,0.0008367553393230045,0.023310191564118336,0.0005034754125133001,0.8276058282949691,0.0517498978429412,0.11394766617302493,0.20741490770069893
0.0009790416239713895,0.0016979432094510612,0.020609206703089262,7.499232551957405e-05,0.001071559902650391,0.0005893792716592411,0.000482919282770208,0.002059494207021517,0.009617216427955141,0.9628182470459121,0.05836622914298397,0.11742630947663701,0.12222263739216253
