dec_Equity_Developed_Markets,dec_Equity_Emerging_Markets,dec_Bond_US,dec_Bond_EU,dec_RealEstate_US,dec_RealEstate_EU,dec_Cash,dec_Private_Debt,dec_Infrastructure,dec_Private_Equity,obj_Risk,obj_Return,obj_Liquidity,obj_ESG,obj_Diversiy,obj_Geopolitical
,,,,,,,,,,-1,1,1,1,1,-1
Equities,Equities,Fixed_Income,Fixed_Income,Real_Assets,Real_Assets,Cash,Fixed_Income,Real_Assets,Private_Equity,,,,,,
0.0065155220594028465,0.010334773805704987,0.1904606402260898,0.0442813628107161,0.0034705179897094726,0.00929177710807076,0.7149510802163095,0.0011996185581698497,0.018618968521267036,0.0008757387045596302,0.0002145845034195087,0.02590773366811991,0.9590994959204129,0.7715525772832391,0.5000137168264461,0.14102242461448894
0.006396825898612918,0.015670453565181472,0.18699093410425974,0.04347466954619208,0.003169895053387888,0.009122504675318867,0.7133532214538765,0.0026819322221325174,0.018279778497629007,0.0008597849834090182,0.00021896321801352707,0.026290322850215955,0.9575531323742384,0.7697455325477854,0.503944102218602,0.14379225386828687
1.0582928229742237e-06,3.174860750504873e-05,0.26342686308365637,0.04465302981739866,7.411724711969911e-06,0.00011203456415024912,0.6916591477190368,1.7260304788847158e-06,0.00010692003265912296,6.012757992411417e-08,0.0002828930343550352,0.024187544505923333,0.9821965890207425,0.7713939297289056,0.500244436733288,0.13310961752232475
0.005262819643023638,0.008054930878715963,0.016262412085619536,0.3019325313154398,3.5201109501783353e-06,0.00012496325055208406,0.6550446762881729,0.013168651414005665,8.599654990418377e-05,5.949846361611901e-05,0.0003235184035620485,0.02325593275272683,0.9570341713812781,0.7756665659652995,0.5324697038081476,0.15734503591323337
0.00013176198229350239,2.9918246206036357e-06,2.0119305953333864e-05,0.3408291682042404,3.7350791947102324e-08,0.0001410617151991099,0.658660801258922,4.981986330634748e-05,9.707510629802277e-05,6.716338837475615e-05,0.00035626980050837816,0.021731799920349956,0.9656423132509641,0.7828638226446293,0.5000015254403092,0.1512611222270447
0.0005332291409382385,0.000493113339772737,0.1584365237077132,0.1661626211808135,0.0012249787321981463,0.005878640484188712,0.5812250340261039,0.0017848608837909988,0.07552443455691513,0.0087365639475655,0.0003765923995451983,0.028296470891089283,0.9049735708043054,0.7729861512391653,0.6707169679167173,0.1660305527382404
0.006081212977775571,0.07630348538217803,0.1777649905162771,0.041329673315969935,0.0032391815799575575,0.008672409520071003,0.6672941550725963,0.0011196548607789556,0.017377872712582173,0.0008173640618134108,0.00048279203648835553,0.03084654652960711,0.9451614247706324,0.7501186532996302,0.5724012874092448,0.17494964968090493
0.006176853721309011,0.009834876777364792,0.18056074457543037,0.039832319799426544,0.0032901249913919457,0.008963071934846358,0.6645339426668657,0.0013717150614790952,0.017651178823276686,0.06778517164860956,0.0005722904476542598,0.032303947968543724,0.9009070153280869,0.7395468875858098,0.5767461419397911,0.16883117968979375
0.030734281093587057,0.00014212236629231344,0.005804798315226738,0.0031205855382532744,0.016927985313460372,0.0070874100834906004,0.6753657311807664,0.16024126718573803,0.0901476601166593,0.010428158806526039,0.0006605608888622572,0.035047846800266014,0.792360160043752,0.7401750510011097,0.5651596447529132,0.19692741432361824
0.0010627413731983458,6.419004510746202e-05,0.14582648106793653,0.22591013946476532,0.12732121071505825,0.0019696526268858264,0.45064605045466494,0.018578116850353786,0.02809942662295146,0.0005219907790781148,0.0007844029076065658,0.032030989323241256,0.8577732962513877,0.7372862748805614,0.7858518700781556,0.1883904249669528
0.00023181311877595425,0.010022267020972243,0.004294576857061326,0.041813579447571636,0.0031661042765446113,0.008773949934156535,0.6751071307705395,0.001132764276095801,0.25463088017579527,0.0008269341224872161,0.000829803390018671,0.03445798790217393,0.7929620992867887,0.8033692295255086,0.5304857611831365,0.17908601348191244
0.005737874197222553,0.11815062680138501,0.16476819647240445,0.03899624416477611,0.002949600213624539,0.008163278745250527,0.6296194407828516,0.024353735037829477,0.006489787023559079,0.0007712165610966164,0.000889625194824033,0.03431259833314614,0.9280655806281092,0.7296226723912771,0.6224516050716858,0.20145944682542283
0.045955564459288785,0.07690534653658614,0.00199263924430315,0.0702135732989637,0.0072740807268137685,0.0022834602126155634,0.7264654631196297,0.03139323801854608,0.020938730854290127,0.016577903528962986,0.0008996917517114402,0.03370621790684154,0.9106089921237581,0.7435446526023657,0.5083674988974166,0.19011201242520231
4.8156448070417415e-06,0.00014446853795418608,0.5685148715056915,0.03254939063028904,3.372623610931375e-05,0.0005054799294691467,0.39775259198040674,7.854111387694256e-06,0.0004865278199625282,2.736039229745397e-07,0.0009057591031314001,0.028748889872291742,0.9675632809804229,0.7413820627936106,0.5750263770072039,0.16204690260104643
0.005914602015779271,0.009532218310280855,0.0018288010532767508,0.0009979291292345216,0.002172086028406811,5.6097011848799226e-05,0.6456490640300419,0.029005262240093848,0.3037018505401288,0.0011420896409083258,0.0011403452986343235,0.03772023540980987,0.7463865854305388,0.800901984852298,0.5443610614510208,0.19409082141483705
0.09939784744442669,0.012300930746856254,0.0030972739572440564,0.0008398980400965528,0.00942923138938304,0.00027157302777141873,0.6470400609709676,0.029640232074806077,0.19683840217087184,0.0011445501775764198,0.0012273745711768968,0.03862291280584673,0.811505008524953,0.7783992277686205,0.5906482465688166,0.19408957610585686
0.0023388391613423593,0.00015747756222392749,0.32489534317667595,0.48944114333796923,1.1609199224463671e-06,1.574242973389852e-05,0.11509997253359243,3.3665806517723866e-05,0.06801115106833264,5.504003689443707e-06,0.0014532043224708446,0.03087670674823021,0.8834900531002662,0.7460167325881435,0.7077904071806672,0.2235974565388776
2.394259615710794e-05,8.55921708208441e-05,0.001275778626416876,0.011062240701923869,0.16974630700167717,0.002625966699596259,0.6107563066684429,0.02476858889954157,0.17893139658894047,0.0007238800464827691,0.0016051120971173646,0.03868478722048564,0.7430634804272029,0.7574780444990559,0.6282239656216938,0.19004203133416758
0.10825250718568555,0.01074860994402196,6.597887725452035e-05,0.007623072101708056,0.0003916754199932639,0.00022968631420744332,0.5661501490211964,0.026328150093803047,0.2801900293845238,2.01416576058567e-05,0.0017571569950121794,0.042487557132637105,0.7567473346892613,0.7855694884433712,0.6537576940323281,0.2135206169403399
0.10772904001104797,0.015532246310712757,6.565982897231344e-05,0.007586209879124195,0.00038978142944459996,0.00022857564020019048,0.563412466295563,0.026200837362658658,0.27883513898192136,2.004426035498869e-05,0.0017957346697262027,0.042765665019068255,0.7567147071934375,0.7839468044374597,0.6580292422292432,0.21563126209191943
0.005522498289906208,0.008759661950066996,0.024640588611247266,0.03753248752246703,0.0029415800435515474,0.031061249635411133,0.6059861484411937,0.049395586696027484,0.11323689515022979,0.12092330365989898,0.0019109925024500991,0.04270892169911729,0.7419822408677348,0.7151989323175264,0.6664436601193713,0.22110610234842235
0.10570802987500011,0.12791395542838355,0.037264278076775376,0.041029602567488783,0.00367989645476633,0.010721626195037543,0.625127695465003,0.027004045338825205,0.01827352923938359,0.00327734135933663,0.002095253926985557,0.040274142692755435,0.9067499532050641,0.7217054960107181,0.6415608509707813,0.22503545746725884
0.001609589362843452,0.00010837607529056075,0.25009588864838167,0.3436821556014052,0.0012434000461149302,0.09913315326249128,0.07921181349952817,0.0837232291525397,0.04680528149336177,0.09438711285804324,0.002201350748905951,0.044730495214906005,0.7090977243050071,0.6674191915601709,0.8723548220140614,0.28057787841173965
0.0004516488246355736,0.0055221663142073696,0.31655642200010553,0.07335090126589303,2.2417797706226242e-06,0.00014516177723648284,0.1731659768666331,4.4587798889045986e-05,0.4291857111746761,0.001575182197953199,0.002409807415773369,0.04720847892150845,0.6519775232709366,0.7833050325227274,0.7557684935353626,0.25385872729262804
0.07685912248748558,0.09300480180885493,0.15418619232196343,0.02983216367835528,0.1495544118034336,0.007795574110726218,0.4534639991927996,0.01963433838288984,0.013286478082594488,0.002382918130897161,0.00241835454607191,0.043991418004314525,0.8377170693132958,0.6936440691284745,0.8135053717406286,0.232996813697087
