dec_Equity_Developed_Markets,dec_Equity_Emerging_Markets,dec_Bond_US,dec_Bond_EU,dec_RealEstate_US,dec_RealEstate_EU,dec_Cash,dec_Private_Debt,dec_Infrastructure,dec_Private_Equity,obj_Risk,obj_Return,obj_Liquidity
,,,,,,,,,,-1,1,1
Equities,Equities,Fixed_Income,Fixed_Income,Real_Assets,Real_Assets,Cash,Fixed_Income,Real_Assets,Private_Equity,,,
0.008402689849292863,0.0019182791721916793,0.06431313516683432,0.0461229644572959,0.003569150016321387,0.014333213825402953,0.854302638234995,0.0016572563212934978,0.0020781149011940996,0.003302558055178395,0.00012255408109500214,0.023105173431783376,0.9737031611711852
0.0010869876014989544,0.04720358171364246,0.1330251615800928,0.035907350631132706,0.01222276824706959,0.0461893246710306,0.6880975160049453,0.033569076143119644,0.00215391945523922,0.0005443139522286442,0.00038718030875022644,0.029980021782942703,0.9148880152362908
0.0011209704295379586,0.04279191943770222,0.1366534731743706,0.018702313207423653,0.003194193855688395,0.011279436739880118,0.5718192067102498,0.010822059842662796,0.18738105838537092,0.0162353682171135,0.0009046950990842501,0.03767028474150716,0.8085158008495303
0.00044443341635193876,0.03572988735327766,0.09898030496370275,0.02835766683803265,0.037626300715405556,0.010496959976032727,0.5378331260872985,0.026814430123882602,0.22166951830746162,0.0020473722185538864,0.0011152859451780885,0.0391735336788844,0.7669746236603798
0.0008659859561162263,0.03320829181709191,0.1059853912626099,0.028707447281195335,0.00981810865958612,0.004087086303258436,0.5482263653914519,0.02744207969692744,0.14541541836925526,0.09624382526250748,0.001729528190413098,0.043089166125779704,0.7600033805649483
2.8945191026041097e-05,0.024267488261144405,0.07560437501615488,0.020287370417138465,0.02748763609083715,0.007668482162614862,0.3991884551986171,0.05671412719662965,0.3828131862430548,0.005939934222782551,0.0022274958409787904,0.04686297716302377,0.6344884630424514
0.00040706057295107026,0.02735620778907462,0.07891467847675601,0.021389043237220254,0.028808176486188053,0.008036885630752175,0.4117862059741986,0.02053018289595205,0.40120401019882795,0.0015675487380791006,0.0022742947073234447,0.04630363259996736,0.6478417926556159
0.0001792545811702115,0.0970399625389246,0.44257641190934677,0.014798649505457633,0.029920628037383996,0.025384032147536765,0.06853442822667016,0.22238563388920674,0.07562812688262446,0.023552872281678735,0.002647899725174814,0.05203010331978971,0.6840727767048855
0.07396034145567809,0.017442367855558367,0.1122323921663023,0.0023075667203208226,0.007472477763214578,0.006037615609203537,0.30610813161003986,0.004127011318264402,0.38671428405256814,0.08359781144884992,0.004105308591123144,0.05600373794465434,0.6058304095401083
0.016321787562534343,0.07871666546554276,0.3092406883662076,0.021099115848062667,0.028635155611387252,0.02850158678140012,0.02334289680348949,0.01600150766697899,0.46238064893993003,0.015759946954466725,0.00446029013492285,0.059927655096676614,0.5532390897686489
0.0042829985753377,0.02313229750586483,0.07400311361599973,0.0035102023077122338,0.0068391175224966055,0.002532029726250933,0.16066326031917305,0.1148766733533371,0.5445378755966804,0.0656224314771475,0.005150718328171928,0.06206260235762513,0.4361108936445888
0.07298859131846994,0.09017085025327061,0.14040987402619473,0.0032354057492099894,0.013857774480870812,0.009123990575656219,0.14676292493380438,0.0012097945306484487,0.4626380648566413,0.0596027292752337,0.006028552974729797,0.06391372493716,0.5471012743042605
0.07885302287349803,0.09741582881795732,0.09433344221298132,0.0034953616577464105,0.0024879235880704183,0.00985707799758208,0.1480489463295552,0.0013069981770331106,0.49980975452885806,0.06439164381671802,0.00680304751442453,0.06595753745383276,0.5210699833248535
0.07634869860048898,0.09164944187462462,0.09133746919277813,0.003384351087403628,0.000407924330489504,0.00954402316733302,0.14334700141513734,0.0012670582788945016,0.4839360992834357,0.09877793276941453,0.007470062550992303,0.06782729877481482,0.5053599366955794
0.01722758314305078,0.08406978716033878,0.008500327366846307,0.022533959843540587,0.030582487498867626,0.030439835329319247,0.006994411124192044,0.016926366469697827,0.7658935409461641,0.016831701117982704,0.008960291038872486,0.07140103227714109,0.3350288538349398
0.00044675083268622254,0.0058597620367388525,0.0031080465499404198,0.004429399240763793,0.20429271227230725,0.05897116129741843,0.027407954497974514,0.004177176618546106,0.6110354665430465,0.08027157011057771,0.009999348874121008,0.07188385317581725,0.30354012330947966
0.000540719369636624,0.026546309004842686,0.002621904424094161,0.00536106883323242,0.013636815879073316,0.07137501898261854,0.00676673550746025,0.0017336471159589291,0.7720959774482914,0.09932180343479172,0.010199184185574178,0.0743654484468837,0.2683911376824494
0.07195239118228476,0.0887111082383297,0.12032347177698424,0.0003309127466414275,0.37874813996522133,0.056195987776094115,0.006122088950272807,0.0012766418390562305,0.21740364351108504,0.05893561401403016,0.011160935978481562,0.07122059453021579,0.4838130083918013
0.06759801851385433,0.08097633709340694,0.001453753013785388,0.0029656729218990848,0.37123074713814674,0.05319977258087728,0.005751595956770579,0.0012007724496999092,0.32799865201219197,0.08762467831936784,0.013532746749134553,0.0764705823287969,0.3896068182605605
0.07692214163847524,0.09214579669946017,0.0016542762301655484,0.0024398564282883464,0.4224364077486227,0.060537875688799994,0.006544941531730139,0.0013664008277471142,0.23624112727443378,0.09971117593227695,0.01497102523767016,0.07740517106490165,0.4082557889857591
