dec_Equity_Developed_Markets,dec_Equity_Emerging_Markets,dec_Bond_US,dec_Bond_EU,dec_RealEstate_US,dec_RealEstate_EU,dec_Cash,dec_Private_Debt,dec_Infrastructure,dec_Private_Equity,obj_Risk,obj_Return,obj_Liquidity
,,,,,,,,,,-1,1,1
Equities,Equities,Fixed_Income,Fixed_Income,Real_Assets,Real_Assets,Cash,Fixed_Income,Real_Assets,Private_Equity,,,
0.002077094627681224,0.0005789293972461005,0.0147363464673735,0.01292219361343947,0.0013560124103765027,0.0031809283615114275,0.9650141003514588,5.633938124724643e-06,5.072130573376822e-05,7.803952705460207e-05,9.79486687529999e-05,0.020662199325014785,0.9946250903116628
3.142672349752136e-08,8.82004437958276e-09,0.00017284932541667447,3.4282619580352136e-07,6.994078905916528e-08,7.72668045515409e-07,0.9998032508483438,5.152910201379941e-06,1.7479315159967727e-05,4.1919079943575336e-08,9.998062664684691e-05,0.02000371572305451,0.9999740194540402
0.0021054819584836572,0.0005868415357167607,0.033495041541709805,0.01309879923357306,0.0013745448221176733,7.79303141357996e-05,0.9328013613991155,0.0030028793161920747,0.013378013797763025,7.91060811925989e-05,0.00010181034170403904,0.021609966783986283,0.9835760064795908
3.1306924070087224e-08,0.025426895411953213,0.05708737766925069,3.4151933408216105e-07,0.0013694086426580842,7.697226163026977e-07,0.9150867235067875,5.13326718349443e-06,0.0010232771940091863,4.175928340047717e-08,0.00012521928347579203,0.02301034047136083,0.9891956357097376
0.001430222897356557,0.00046846068101230614,0.1933358747867496,0.011122113441975327,0.004329437697908083,0.002573957849736814,0.7866436839257487,4.558895269862682e-06,2.8541450427664032e-05,6.314837381515164e-05,0.00017765009824361854,0.02340629338193207,0.9846086913844593
0.08153128631517846,7.935755658819899e-09,0.0001555196270297526,5.7043094250937705e-05,6.29285963507653e-08,6.952011294616958e-07,0.8995639890421513,4.636284640999289e-06,0.01764199480632581,0.0010447647649411522,0.0002821035776216663,0.0258812884463189,0.9776578696634345
0.08014864236673606,7.80117757188075e-09,0.00015288225577149154,5.60757319949125e-05,6.186142512287605e-08,6.834115983743937e-07,0.8843087813556477,0.016963004054856016,0.017342813983112458,0.0010270471776801402,0.00028896427009499726,0.026459888787247983,0.9661658450070042
0.001127326948128176,0.004694713073712672,0.1523907511828218,0.008582066772177108,0.07550145399788774,0.040326264817709116,0.7173015582669097,3.593401770387837e-06,2.2496875322888007e-05,4.9774663560392304e-05,0.00036170790852161017,0.028166357603183666,0.9186587150352208
0.09459824079035772,0.0056874372675726525,3.0539169707553497e-06,6.73040755932708e-05,7.42482689865778e-08,8.202547562371768e-07,0.8795249301581785,5.470265174905145e-06,0.01935457913582917,0.0007580898872978567,0.00037493776137576126,0.02717506503669175,0.9739088113500478
0.07262500128124112,0.006587991983779586,0.009568077298620838,0.00227184158005979,0.0010639892683337831,0.002815840917409174,0.8119901647252608,0.01172335239154387,0.08125292632230265,0.0001008142314483239,0.00042211282650868884,0.029746914737991223,0.9186794494715664
0.0011364627273588465,0.07949947566709925,0.013421009009514148,0.011768783890405367,0.001234977395310909,0.002932273073040157,0.8788788295524851,1.3940633235094354e-05,0.002044985929872778,0.009069262121678311,0.00045976707149073806,0.027877077798282236,0.9658107582361308
0.030752325428366048,3.478874218720525e-05,0.3432289883934725,0.00012931492635315605,0.0055381237952662555,1.1994728682156504e-05,0.5546417645078534,0.0001896764874265383,0.060710185289710915,0.0047628377006816444,0.00046310739031663235,0.030793770098572162,0.926459052069409
0.00012806543153376796,0.07148052083728743,0.1477993332861747,0.009594828755935965,0.04463074198535612,0.000416783203509539,0.7258512582153139,1.0923161775303219e-06,3.835821944574633e-05,5.901774926527098e-05,0.0004706330896979392,0.030247161541901428,0.9466356101738803
0.03935537774151958,3.386431015321045e-05,0.33410845537278605,0.001155155003391157,0.005390960698163657,0.02278456020178877,0.5332537647199558,0.00018463626435296043,0.0590969496122161,0.004636276075672749,0.0005088312962108512,0.03198822539664411,0.9125659112669557
0.04238195006330813,0.00023762597866706488,0.2586757833496564,0.013580006223749382,0.017567142038182413,6.973412332220104e-05,0.5784755820281818,0.0027237958240719016,0.05134870160912367,0.03493967876173712,0.000581042567399962,0.03356146511989023,0.8989611021368193
0.05286530550455234,0.04785714700692398,0.3542776823794399,0.007084580319677962,0.0007434325102358093,0.001765171686270668,0.5276733804686168,0.0018553572913477497,0.0012310419842619777,0.004646900848672674,0.0006390668381328058,0.03305831319681394,0.956329177088711
0.0036997460025536715,0.028510169618280082,0.10924534083129522,6.279403362738161e-05,0.014387201193454857,0.000558958495410834,0.6875336931852563,0.023641587809958543,0.09034854250507289,0.042011966325090154,0.0006588382924250901,0.03454779808190337,0.8559170047738003
0.0012588917672497564,0.06358680538692667,0.13861660762799924,0.007491274464422867,0.03974731418780365,1.6258476633979523e-06,0.6144085738528208,9.727966054197337e-07,0.13483537395145986,5.256011704832127e-05,0.0008083244875082248,0.03601367778816998,0.8512734908084755
0.023774678276610398,0.016454733470202588,0.40352743455377615,0.0002562270363111759,0.0409595770501103,0.01862444392520085,0.34894921776480425,0.0944145387789039,0.017505858559928988,0.035533290584151486,0.001140342570783098,0.03979521217478234,0.8254256870011059
0.027102560718521677,0.03185898402935191,0.26305916074011204,0.00029209265120455624,0.03981948925534044,0.005107407850748934,0.4271901670578989,0.09007045276698195,0.07515338848950004,0.040346296440339456,0.0012563109530358118,0.04171260819580236,0.7932052968621748
0.006001435046842772,0.0005271505113696502,0.17936236662034163,0.00950351067657136,0.04595047574150671,4.5855384741998325e-05,0.3990624121719835,0.2662998364895558,0.06948037005006726,0.023766587307019443,0.0013227988421960265,0.041942239891660675,0.7018394163672559
0.02521677954266877,0.017380525982186843,0.24262969249128002,0.0002694084096570969,0.003113975360021529,4.657622518692484e-06,0.3940141015311612,0.2616031577820243,0.018406431976151442,0.037361269302330066,0.001357902089854532,0.04182070119377594,0.7485511756123789
0.028683092564017926,0.000516137620615481,0.1755563704979319,0.009304969420127866,0.04765548838014609,4.489740342212458e-05,0.38687027659969786,0.2607364709158552,0.06736222560665178,0.02327007099153381,0.0014231556618321023,0.042951294499324305,0.7046916017927551
0.007137144410435857,0.0006269082804886133,0.2133048349894864,0.004335705495607154,0.054646126890583166,0.00012803670750345048,0.31904730878435056,0.3166943197196297,0.08262880975421544,0.001450804967699604,0.00156229105360148,0.04338135396548078,0.67019649060524
0.007003347335708256,0.04906300747884386,0.2210817572354166,0.00024636012335197376,0.0007735796632719175,5.740629777916964e-05,0.3603056147326058,0.24298891172351816,0.08431505773196331,0.03416495767754101,0.0015910827335866575,0.04505547995596577,0.7113767342158706
0.040661002116678294,0.06320748882439152,0.3185769198765411,0.005574096208523794,0.012246351516233987,0.0018334389952547425,0.365676930342958,0.03386512739864428,0.11162389908747616,0.046734745633298325,0.0016763161698888315,0.04459771326141406,0.8056214411462725
0.026508866399446284,0.020702235057078938,0.048343153828235244,0.00028863831922975095,0.00016897858266541493,0.000211847747944495,0.4221381513796369,0.3168464191571058,0.12769175345382736,0.037099956074829674,0.0018612161578325896,0.04675866417306239,0.6385371759189963
0.07998658159262818,0.045445891127522293,0.2047827474484614,0.00013685589892951,0.0007165483520487469,5.3174081512048084e-05,0.33405817409733407,0.2250748210277131,0.07809902268526517,0.031646183688585475,0.002030773614795983,0.04761780840207429,0.7253143468792534
0.001460227236801083,0.08636258962084632,0.7718524024182007,0.002224051637490732,0.020808041873927603,0.0031675130352289645,0.06927411396462922,1.9302811373298863e-05,9.822443372844105e-05,0.04473353296777348,0.0020838317841199217,0.044231666344360474,0.8845572360249401
0.02564614010124915,0.02012673052206211,0.045402522267144065,0.00028017692840175145,0.00016402499981020365,0.002129226568514653,0.41063159299185864,0.2743878312328798,0.16452232051212068,0.056709433875958906,0.002156380050217328,0.048797288541737295,0.6221214345482722
0.07050477683538783,0.07038941657045676,0.743354405356082,0.009587178936886358,0.07789101912875522,0.002586734203314194,0.006018555175616562,0.01770584467618775,0.001785331386932117,0.00017673773038126756,0.0022766125371694148,0.04587288636478805,0.8749175875320734
0.09374001774750912,0.08869192944119293,0.599747129012492,0.0005701511503198387,0.054561202569392515,0.01043187557216257,0.07611215393830409,3.1998247337973287e-06,0.07606065015599478,8.169058789840492e-05,0.0024499812072982584,0.04867547782202002,0.8417699546123348
0.09710258801050421,0.0839167399766176,0.6176381882202976,0.013356328589713778,0.08563504442698729,0.0031864492449542136,0.086535340942966,1.582114855455906e-05,0.002320843367936244,0.010292656071468396,0.002465627032379989,0.04742599975764606,0.8726256974751343
0.05792411534342579,0.059295323482211754,0.5438188737327155,0.008395725221799039,0.014405773831443732,0.0024028817897241484,0.09732976186598742,0.0005798670379149142,0.15627397450490857,0.05957370318986908,0.0026059297616180645,0.051029002220192306,0.7699201832479978
0.060044889634805955,0.06267505777184126,0.6618861552007722,0.00034191412786067454,0.06249969753104538,0.002303239940493555,0.005358948997072708,0.01573751652335299,0.06872279238035321,0.06042978789240222,0.0029070558096471006,0.051872433441850566,0.7892561579860126
0.08742669433444512,0.08178753890670633,0.5834877769244194,2.8022003644056686e-05,0.00944066985823618,0.003948204190738936,0.0009213716336756406,0.0032470093525207955,0.22191833822179938,0.00779437457381395,0.002933325628036983,0.05317625793960129,0.7576759228248247
0.036222337010557736,0.037003604479078904,0.34007235846864037,0.00525019306085199,0.009008524196298362,0.0016071681509170598,0.060864312118791154,0.3736286523496096,0.10129284385615013,0.03505000630910478,0.0029879082894265956,0.05429046677484761,0.5940937589187487
0.08311710201526422,0.0777559218798896,0.553479154402276,2.6640693134814355e-05,0.06085710924223913,0.005376806106317455,0.0008759537421972105,0.0030869519847744895,0.2125014995015923,0.002922860432314722,0.0030898243533300186,0.05380858719487355,0.7403959326200044
0.04248602979939461,0.030703513712188543,0.5555451085951011,0.0005402934488803791,0.024290776600948628,0.05514217569872785,0.005902956641959096,0.06101102334730876,0.1464164740414739,0.07796164811401705,0.0030948894466448357,0.054318976286473974,0.687141798475791
0.04665910757504758,0.01865045601979904,0.3096019771282274,0.01664327529996238,0.014038142873620808,0.033049321182646134,0.00038358715923294894,0.354967973235025,0.20493638882539722,0.001069770701041547,0.003125525357014931,0.0555952244012719,0.5404794378437426
0.08627172067336171,0.07453990474370023,0.6804685238255986,0.0016745173108203457,0.017959506147220715,8.614697660187673e-05,0.0058536299208714225,0.0319782424088751,0.02670541626961077,0.07446239172333916,0.003171338584731005,0.05231695693243037,0.8182852901618273
0.01521352997901159,0.06400996828405725,0.4369534944831158,8.769620128223943e-05,0.04671163284323676,0.0013633324542444232,0.021327565072630655,0.05518124652658758,0.3227807947469137,0.036370739408919855,0.003464533167309376,0.05696182863935121,0.618260430688775
