dec_Chicken_Breast,dec_Tofu,dec_Eggs,dec_Sweet_Potato,dec_White_Rice,dec_Oats,dec_Almonds,dec_Olive_Oil,dec_Avocado,dec_Spinach,dec_Berries,dec_Broccoli,obj_Nutrient_Density,obj_Cost,obj_Prep_Time,obj_Carbon_Footprint,obj_Satiety,obj_Diversity
,,,,<0.3,,,>0.05 | <0.1,,,,,>0.6,<0.45,,,,
,,,,,,,,,,,,1,-1,-1,-1,1,1
Proteins,Proteins,Proteins,Carbohydrates,Carbohydrates,Carbohydrates,Fats,Fats,Fats,Vegetables_Fruits,Vegetables_Fruits,Vegetables_Fruits,,,,,,
0.005998163357368301,6.29365508574684e-05,0.0009284959595350033,0.0011164671473581599,0.002669749095146143,3.410946940482524e-05,0.00047863650513145696,0.052783141453119416,0.002092049728144622,0.5166883240795931,0.0021145357549102292,0.41503339089943136,0.8687231150635792,0.35430940952563517,14.678004817214642,33.6824215942779,0.5127698919399688,0.6086619315253715
0.005989538857682468,6.288820062437589e-05,0.0009410287007317235,0.0011148618275314158,0.00484425230846006,3.406042487391822e-05,0.0004845680626806413,0.05270724685676428,0.0020890416603164988,0.5159454002838909,0.0013504804806192185,0.41443663233582456,0.8680413841150871,0.3535669138715375,14.688261149144731,33.67903602528648,0.5126089955378694,0.610032731139183
0.00900964521118225,9.510594365783555e-05,0.001394663445627954,0.08527132803151112,0.004010142891589249,0.0032605688570895896,0.0008633765751352812,0.07929694263263262,0.009109830389713764,0.7766339999718296,0.0033900084772980833,0.027664387572732423,0.8563775011688965,0.43863918559405746,11.84514164926932,34.91178407840026,0.5038353495423359,0.4170654984797936
0.07350131209311646,0.0004555664333438516,0.0025459571907970728,0.08104388015818956,0.020110399007047915,0.005270465255226874,0.0008223627140056424,0.06638992451454254,0.008320653504098679,0.7381312602195312,0.003221943965360378,0.00018627494473977155,0.8527690974751231,0.43750074727011734,11.983212556643222,67.48766255184248,0.5236834581060855,0.4781071054382333
0.057961419596768544,6.623089844770585e-05,0.05875190626694523,0.08702477068881956,0.001905898989533346,0.0033707348548694996,0.00036798920771296346,0.06346712022398766,0.05731986098881486,0.6668014354921131,0.0016490799132018229,0.001313552878785684,0.8488202198235011,0.4228062222670003,11.739915948920261,74.86354905834197,0.5392597553776238,0.5821723652230968
0.07048148239129015,6.623599935185892e-05,0.058756431161665096,0.08703147307433193,0.0019060457761284082,0.002453884884338959,0.0006845642911366679,0.08247375041419051,0.026301774764877394,0.666852790528679,0.0016492069203657774,0.001342359793644184,0.8446012609755759,0.4196271236178766,11.831475168195688,79.00163631714794,0.5343691742276785,0.5801504385188155
0.0034836852726962643,0.0038086524304569145,0.004661177044541578,0.29529583673390875,0.012274393580437127,0.0007525690340830615,0.00013722237968682,0.05292968310612849,0.0031542262591862263,0.3654347285524479,2.6311939460826863e-05,0.25804151366696604,0.8436715646979085,0.2858037439872851,15.779148041799804,40.03985430247629,0.5490895269679475,0.7741759523070515
0.003498964216231606,0.03275243900072569,3.75536525415786e-05,0.0004932011467096419,0.010834195481173571,0.0006695791368601764,0.00012076294359910394,0.07792846204183601,0.004205118064513559,0.34440272998579924,0.2540486934125676,0.27100830091744227,0.8400486531548912,0.4046728397568392,10.367989016066257,44.886694856328035,0.5153937037881664,0.8030257540287606
